iter	Passed	Remaining
428	1704	196986
429	1708	196956
430	1712	196903
431	1715	196860
432	1719	196837
433	1723	196818
434	1726	196738
435	1729	196661
436	1733	196610
437	1737	196578
438	1740	196544
439	1744	196514
440	1748	196465
441	1751	196406
442	1755	196407
443	1759	196377
444	1762	196325
445	1766	196274
446	1770	196247
447	1774	196235
448	1778	196240
449	1781	196217
450	1785	196194
451	1789	196181
452	1793	196130
453	1796	196064
454	1800	196020
455	1804	196034
456	1808	196032
457	1812	196032
458	1816	196031
459	1820	196012
460	1823	195980
461	1828	196008
462	1831	196006
463	1835	195937
464	1839	195949
465	1843	195984
466	1847	196008
467	1851	196004
468	1855	195934
469	1858	195886
470	1862	195810
471	1865	195785
472	1869	195764
473	1873	195768
474	1877	195725
475	1880	195688
476	1884	195616
477	1887	195563
478	1891	195541
479	1895	195534
480	1898	195463
481	1901	195395
482	1905	195348
483	1909	195304
484	1912	195258
485	1916	195224
486	1919	195196
487	1923	195134
488	1926	195089
489	1930	195089
490	1934	195046
491	1938	195029
492	1941	194977
493	1945	194931
494	1948	194908
495	1952	194884
496	1955	194822
497	1960	194829
498	1963	194826
499	1967	194818
500	1971	194813
501	1975	194814
502	1979	194822
503	1984	194848
504	1988	194848
505	1992	194856
506	1995	194805
507	1999	194771
508	2003	194763
509	2006	194737
510	2010	194718
511	2014	194670
512	2018	194669
513	2021	194669
514	2025	194638
515	2028	194578
516	2032	194555
517	2036	194536
518	2040	194522
519	2043	194465
520	2047	194417
521	2051	194406
522	2054	194378
523	2058	194372
524	2062	194332
525	2065	194276
526	2068	194209
527	2072	194183
528	2075	194133
529	2079	194088
530	2082	194047
531	2086	194003
532	2089	193932
533	2093	193893
534	2096	193880
535	2100	193874
536	2104	193859
537	2107	193798
538	2111	193732
539	2115	193725
540	2119	193723
541	2122	193695
542	2126	193666
543	2130	193650
544	2134	193657
545	2138	193656
546	2143	193773
547	2147	193779
548	2151	193792
549	2155	193777
550	2159	193775
551	2162	193733
552	2166	193737
553	2171	193770
554	2174	193770
555	2179	193778
556	2183	193789
557	2187	193798
558	2191	193791
559	2194	193774
560	2199	193823
561	2203	193844
562	2207	193827
563	2210	193758
564	2214	193746
565	2218	193725
566	2222	193743
567	2226	193745
568	2229	193696
569	2232	193628
570	2236	193621
571	2240	193617
572	2244	193582
573	2247	193539
574	2250	193487
575	2254	193442
576	2258	193419
577	2261	193362
578	2264	193309
579	2268	193269
580	2271	193226
581	2275	193204
582	2279	193207
583	2283	193194
584	2287	193193
585	2291	193215
586	2295	193224
587	2299	193212
588	2303	193198
589	2306	193200
590	2310	193148
591	2313	193100
592	2317	193072
593	2320	193014
594	2324	192983
595	2327	192939
596	2331	192937
597	2335	192906
598	2338	192887
599	2342	192877
600	2346	192850
601	2349	192805
602	2353	192782
603	2356	192748
604	2360	192734
605	2363	192683
606	2367	192657
607	2371	192620
608	2374	192590
609	2378	192556
610	2381	192523
611	2385	192490
612	2388	192465
613	2392	192458
614	2396	192445
615	2400	192449
616	2404	192469
617	2408	192433
618	2411	192392
619	2415	192394
620	2419	192365
621	2423	192360
622	2427	192358
623	2430	192353
624	2434	192314
625	2437	192274
626	2441	192276
627	2445	192251
628	2449	192238
629	2452	192198
630	2456	192212
631	2460	192198
632	2464	192168
633	2467	192160
634	2472	192180
635	2475	192176
636	2479	192139
637	2483	192116
638	2486	192091
639	2490	192073
640	2494	192056
641	2498	192124
642	2502	192102
643	2506	192093
644	2509	192048
645	2513	192022
646	2517	192025
647	2521	192016
648	2524	191997
649	2528	191979
650	2532	191947
651	2535	191940
652	2539	191917
653	2543	191890
654	2546	191855
655	2550	191812
656	2553	191781
657	2556	191740
658	2560	191706
659	2563	191670
660	2567	191643
661	2570	191600
662	2574	191574
663	2578	191564
664	2581	191543
665	2585	191511
666	2589	191498
667	2593	191499
668	2596	191472
669	2600	191462
670	2604	191439
671	2607	191415
672	2611	191376
673	2614	191365
674	2618	191365
675	2622	191331
676	2626	191329
677	2629	191279
678	2632	191250
679	2636	191231
680	2640	191213
681	2644	191211
682	2647	191195
683	2651	191162
684	2655	191144
685	2658	191121
686	2662	191082
687	2665	191063
688	2669	191066
689	2673	191023
690	2676	190974
691	2679	190931
692	2682	190891
693	2686	190843
694	2689	190819
695	2693	190786
696	2696	190759
697	2700	190719
698	2703	190677
699	2707	190670
700	2711	190676
701	2715	190696
702	2719	190676
703	2723	190693
704	2727	190679
705	2730	190676
706	2734	190664
707	2738	190652
708	2741	190620
709	2745	190600
710	2748	190568
711	2752	190559
712	2756	190548
713	2759	190512
714	2763	190471
715	2766	190448
716	2770	190430
717	2773	190395
718	2777	190369
719	2780	190343
720	2784	190302
721	2787	190256
722	2790	190222
723	2794	190216
724	2798	190190
725	2801	190152
726	2805	190134
727	2808	190107
728	2812	190114
729	2816	190097
730	2820	190084
731	2823	190063
732	2827	190045
733	2831	190043
734	2834	189995
735	2838	189965
736	2841	189953
737	2845	189931
738	2849	189932
739	2853	189921
740	2856	189910
741	2860	189888
742	2863	189842
743	2866	189805
744	2870	189783
745	2874	189791
746	2878	189777
747	2881	189757
748	2885	189731
749	2888	189705
750	2892	189689
751	2896	189669
752	2899	189658
753	2903	189623
754	2907	189611
755	2910	189583
756	2914	189559
757	2917	189517
758	2920	189501
759	2924	189457
760	2928	189453
761	2931	189455
762	2935	189425
763	2939	189415
764	2942	189387
765	2946	189357
766	2949	189323
767	2953	189311
768	2956	189272
769	2959	189237
770	2963	189209
771	2966	189188
772	2970	189152
773	2974	189146
774	2977	189141
775	2981	189151
776	2985	189119
777	2988	189078
778	2992	189066
779	2996	189060
780	2999	189028
781	3002	188994
782	3006	188970
783	3009	188942
784	3013	188908
785	3016	188890
786	3020	188871
787	3024	188864
788	3027	188850
789	3031	188819
790	3034	188792
791	3038	188756
792	3041	188718
793	3044	188703
794	3048	188663
795	3052	188659
796	3055	188648
797	3059	188625
798	3062	188600
799	3066	188578
800	3070	188589
801	3074	188575
802	3077	188555
803	3081	188542
804	3084	188509
805	3088	188502
806	3091	188481
807	3095	188470
808	3099	188434
809	3102	188402
810	3105	188383
811	3109	188354
812	3112	188313
813	3115	188279
814	3119	188232
815	3122	188215
816	3125	188174
817	3129	188176
818	3133	188166
819	3137	188153
820	3140	188138
821	3144	188136
822	3148	188123
823	3151	188096
824	3155	188092
825	3159	188070
826	3162	188061
827	3166	188043
828	3169	188020
829	3173	188022
830	3177	188008
831	3180	187974
832	3184	187947
833	3187	187925
834	3191	187911
835	3195	187898
836	3198	187870
837	3201	187843
838	3205	187835
839	3209	187817
840	3212	187791
841	3216	187772
842	3219	187757
843	3223	187725
844	3226	187708
845	3230	187690
846	3234	187692
847	3238	187682
848	3241	187662
849	3245	187648
850	3248	187640
851	3252	187630
